entry moduleId genCharge genPdgId genVx genVy genVz genCotTheta genD0 genDz genInvPt genPt genPhi genEta stubPhi stubEta stubR stubX stubY stubZ stubLocalPhi stubLocalZ 
99 91215 -1 13 0.00247086 -0.000427084 7.03588 0.3032 0.00234237 7.03561 -0.324974 3.07717 1.03471 0.298737 1.2 0.363417 87.2092 31.6009 81.2824 32.3956 663.5 1
99 101516 -1 13 0.00247086 -0.000427084 7.03588 0.3032 0.00234237 7.03561 -0.324974 3.07717 1.03471 0.298737 1.24188 0.380614 109.012 35.2132 103.168 42.5007 486 1

107 50333 -1 13 0.000235574 -0.000557865 3.08993 0.292832 0.000447058 3.09005 -0.128494 7.78248 1.13988 0.288801 1.15699 0.414884 23.2156 9.33494 21.2561 9.91049 528.5 5
107 60430 -1 13 0.000235574 -0.000557865 3.08993 0.292832 0.000447058 3.09005 -0.128494 7.78248 1.13988 0.288801 1.1656 0.373309 35.0041 13.7985 32.1697 13.373 66 15
107 70631 -1 13 0.000235574 -0.000557865 3.08993 0.292832 0.000447058 3.09005 -0.128494 7.78248 1.13988 0.288801 1.17653 0.348063 49.9367 19.182 46.1056 17.7342 141.5 26
107 80914 -1 13 0.000235574 -0.000557865 3.08993 0.292832 0.000447058 3.09005 -0.128494 7.78248 1.13988 0.288801 1.19103 0.321849 69.6182 25.808 64.6579 22.7954 407.5 1
107 91214 -1 13 0.000235574 -0.000557865 3.08993 0.292832 0.000447058 3.09005 -0.128494 7.78248 1.13988 0.288801 1.20442 0.311756 87.8083 31.4563 81.9805 27.8204 621.5 0
107 101515 -1 13 0.000235574 -0.000557865 3.08993 0.292832 0.000447058 3.09005 -0.128494 7.78248 1.13988 0.288801 1.2196 0.338604 108.431 37.3025 101.812 37.4206 754.5 0

126 50334 -1 13 0.000131524 -9.19455e-05 3.63991 0.382514 0.000158455 3.63992 -0.07556 13.2345 1.11956 0.373751 1.12985 0.512155 23.8426 10.176 21.5619 12.752 594.5 17
126 60431 -1 13 0.000131524 -9.19455e-05 3.63991 0.382514 0.000158455 3.63992 -0.07556 13.2345 1.11956 0.373751 1.13423 0.469916 34.2844 14.4965 31.0688 16.7103 181.5 20
126 70632 -1 13 0.000131524 -9.19455e-05 3.63991 0.382514 0.000158455 3.63992 -0.07556 13.2345 1.11956 0.373751 1.14069 0.44371 49.2428 20.5329 44.7578 22.5736 322.5 21
126 80915 -1 13 0.000131524 -9.19455e-05 3.63991 0.382514 0.000158455 3.63992 -0.07556 13.2345 1.11956 0.373751 1.14928 0.453542 69.0367 28.2458 62.9939 32.3956 728.5 1
126 91115 -1 13 0.000131524 -9.19455e-05 3.63991 0.382514 0.000158455 3.63992 -0.07556 13.2345 1.11956 0.373751 1.15812 0.407736 89.282 35.8078 81.7868 37.4206 77.5 0
126 101416 -1 13 0.000131524 -9.19455e-05 3.63991 0.382514 0.000158455 3.63992 -0.07556 13.2345 1.11956 0.373751 1.16575 0.387382 107.016 42.1704 98.3568 42.5007 408.5 1

